image,description
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/chocolate_bar_wrapper_231.png,A bunch of blue and white wrappers sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/very_small_piece_of_plastic_2451.png,A small yellow and white device sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/Plastic_Spoon_1749.png,A white spoon sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/white_black_pen_2467.png,A pen sitting on top of a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/potato_chips_bag_1872.png,A bag of chips sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/tissue_box_2218.png,A tissue box with a peacock feather design on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_fork_1474.png,A white plastic fork sitting on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/piece_of_foam_1319.png,A pink ball of cotton candy on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_plates_1503.png,A gold plate on a white background. 
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/match box.png,A matchbox with a match sticking out of it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_candy_wrapper_1668.png,a bag of food sitting on top of a table
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_rag_472.png,A pair of white towels sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/finish_pod_wrapper_639.png,A piece of foil sitting on top of a counter.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cookie_multilayer_plastic_bag_341.png,A package of food sitting on top of a towel.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/non-stretchy plastic bag_45.png,A bag of chocolate sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/cotton_bud_367.png,A pair of surgical instruments on a white surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1829.png,A bunch of soda bottle caps sitting on top of each other.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/styrofoam_food_packaging_2160.png,A metal tray with holes in it sitting on a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1356.png,A knife with a long handle on a gray surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/styrofoam_takeout_container_2168.png,A white plastic container sitting on top of a table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/unusable_plastic_gift_card_2358.png,fall for tims gift card
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/pop_bottle_caps_1802.png,A pile of red plastic caps on a white background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_spray_mop_pad_423.png,A piece of paper with a blue stain on it.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic fruit wrapper.png,A package of food sitting on top of a wooden table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/snack_wrapper_2090.png,A piece of paper taped to a metal surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/dirty_diaper_435.png,A piece of paper wrapped in plastic on a wooden floor.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/lip_balm_1089.png,A red lip balm sitting on top of a white table.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/plastic_cutlery_1389.png,A set of four white plastic knives on a black background.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/medical_mask_1115.png,A blue surgical mask on a concrete surface.
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/piece_of_Styrofoam_1326.png,a close up of a piece of paper on a wall
/work/TALC/enel645_2024f/garbage_data/CVPR_2024_dataset_Train/Black/toothpaste container_12.png,A tube of cream sitting on top of a wooden table.
